pin,slack
ident_coreinst/comm_block_INST/jtagi/b9_Rcmi_KsDw/UJTAG_SEC_0_UDRSH:A,
ident_coreinst/comm_block_INST/jtagi/b9_Rcmi_KsDw/UJTAG_SEC_0_UDRSH:Y,
ident_coreinst/comm_block_INST/jtagi/b9_Rcmi_KsDw/UJTAG_SEC_0_3_UDRSH:A,
ident_coreinst/comm_block_INST/jtagi/b9_Rcmi_KsDw/UJTAG_SEC_0_3_UDRSH:Y,
ident_coreinst/IICE_INST/b3_SoW/un1_b8_jAA_KlCO_0_sqmuxa_2_i_1_1_1:A,4880
ident_coreinst/IICE_INST/b3_SoW/un1_b8_jAA_KlCO_0_sqmuxa_2_i_1_1_1:B,4869
ident_coreinst/IICE_INST/b3_SoW/un1_b8_jAA_KlCO_0_sqmuxa_2_i_1_1_1:C,1463
ident_coreinst/IICE_INST/b3_SoW/un1_b8_jAA_KlCO_0_sqmuxa_2_i_1_1_1:D,537
ident_coreinst/IICE_INST/b3_SoW/un1_b8_jAA_KlCO_0_sqmuxa_2_i_1_1_1:Y,537
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk4.un1_b5_PRWcJ_3:A,6714
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk4.un1_b5_PRWcJ_3:B,6671
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk4.un1_b5_PRWcJ_3:C,6599
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk4.un1_b5_PRWcJ_3:D,6555
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk4.un1_b5_PRWcJ_3:Y,6555
ident_coreinst/comm_block_INST/jtagi/b9_Rcmi_KsDw/UJTAG_SEC_0_UIREG_2:A,
ident_coreinst/comm_block_INST/jtagi/b9_Rcmi_KsDw/UJTAG_SEC_0_UIREG_2:Y,
ident_coreinst/IICE_INST/b5_nUTGT/genblk4.b7_nYhI39s[2]:CLK,3869
ident_coreinst/IICE_INST/b5_nUTGT/genblk4.b7_nYhI39s[2]:D,1395
ident_coreinst/IICE_INST/b5_nUTGT/genblk4.b7_nYhI39s[2]:EN,278
ident_coreinst/IICE_INST/b5_nUTGT/genblk4.b7_nYhI39s[2]:Q,3869
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1.b13_PLF_2grFt_FH9[8]:CLK,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1.b13_PLF_2grFt_FH9[8]:D,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1.b13_PLF_2grFt_FH9[8]:EN,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1.b13_PLF_2grFt_FH9[8]:Q,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b9_v_mzCDYXs[7]:CLK,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b9_v_mzCDYXs[7]:D,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b9_v_mzCDYXs[7]:Q,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b9_v_mzCDYXs[7]:SLn,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b9_v_mzCDYXsc_1:A,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b9_v_mzCDYXsc_1:B,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b9_v_mzCDYXsc_1:Y,
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3[10]:CLK,647
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3[10]:D,2237
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3[10]:Q,647
ident_coreinst/IICE_INST/b3_SoW/virOut/genblk1.b13_PLF_2grFt_FH9[24]:CLK,
ident_coreinst/IICE_INST/b3_SoW/virOut/genblk1.b13_PLF_2grFt_FH9[24]:D,
ident_coreinst/IICE_INST/b3_SoW/virOut/genblk1.b13_PLF_2grFt_FH9[24]:EN,
ident_coreinst/IICE_INST/b3_SoW/virOut/genblk1.b13_PLF_2grFt_FH9[24]:Q,
ident_coreinst/IICE_INST/b3_SoW/virOut/genblk1.b13_PLF_2grFt_FH9[24]:SLn,
ident_coreinst/comm_block_INST/b9_ORb_xNywD/genblk1.b3_ORb[30]:CLK,
ident_coreinst/comm_block_INST/b9_ORb_xNywD/genblk1.b3_ORb[30]:D,
ident_coreinst/comm_block_INST/b9_ORb_xNywD/genblk1.b3_ORb[30]:EN,
ident_coreinst/comm_block_INST/b9_ORb_xNywD/genblk1.b3_ORb[30]:Q,
ident_coreinst/comm_block_INST/b9_ORb_xNywD/genblk1.b3_ORb[30]:SLn,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1.b13_PLF_2grFt_FH9_10[1]:A,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1.b13_PLF_2grFt_FH9_10[1]:B,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1.b13_PLF_2grFt_FH9_10[1]:C,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1.b13_PLF_2grFt_FH9_10[1]:Y,
ident_coreinst/IICE_INST/b5_nUTGT/genblk5.b12_uRrc2XfY_rbN_5[12]:A,
ident_coreinst/IICE_INST/b5_nUTGT/genblk5.b12_uRrc2XfY_rbN_5[12]:B,
ident_coreinst/IICE_INST/b5_nUTGT/genblk5.b12_uRrc2XfY_rbN_5[12]:C,
ident_coreinst/IICE_INST/b5_nUTGT/genblk5.b12_uRrc2XfY_rbN_5[12]:Y,
ident_coreinst/IICE_INST/b3_SoW/virOut/genblk1.b13_PLF_2grFt_FH9[10]:CLK,
ident_coreinst/IICE_INST/b3_SoW/virOut/genblk1.b13_PLF_2grFt_FH9[10]:D,
ident_coreinst/IICE_INST/b3_SoW/virOut/genblk1.b13_PLF_2grFt_FH9[10]:EN,
ident_coreinst/IICE_INST/b3_SoW/virOut/genblk1.b13_PLF_2grFt_FH9[10]:Q,
ident_coreinst/IICE_INST/b3_SoW/virOut/genblk1.b13_PLF_2grFt_FH9[10]:SLn,
ident_coreinst/comm_block_INST/jtagi/b9_Rcmi_KsDw/UJTAG_SEC_0_3_UIREG_3:A,
ident_coreinst/comm_block_INST/jtagi/b9_Rcmi_KsDw/UJTAG_SEC_0_3_UIREG_3:Y,
ident_coreinst/IICE_INST/b3_SoW/b8_jAA_KlCO:CLK,8364
ident_coreinst/IICE_INST/b3_SoW/b8_jAA_KlCO:D,-143
ident_coreinst/IICE_INST/b3_SoW/b8_jAA_KlCO:Q,8364
ident_coreinst/IICE_INST/b3_SoW/b8_jAA_KlCO:SLn,7930
ident_coreinst/comm_block_INST/jtagi/b10_nv_ywKMm9X:A,
ident_coreinst/comm_block_INST/jtagi/b10_nv_ywKMm9X:B,
ident_coreinst/comm_block_INST/jtagi/b10_nv_ywKMm9X:C,
ident_coreinst/comm_block_INST/jtagi/b10_nv_ywKMm9X:Y,
ident_coreinst/IICE_INST/b5_nUTGT/un22_i_a3_2[0]:A,2615
ident_coreinst/IICE_INST/b5_nUTGT/un22_i_a3_2[0]:B,2596
ident_coreinst/IICE_INST/b5_nUTGT/un22_i_a3_2[0]:C,2536
ident_coreinst/IICE_INST/b5_nUTGT/un22_i_a3_2[0]:Y,2536
clk_ibuf/U_IOIN:Y,
clk_ibuf/U_IOIN:YIN,
ident_coreinst/comm_block_INST/b9_ORb_xNywD/genblk1.b3_ORb[29]:CLK,
ident_coreinst/comm_block_INST/b9_ORb_xNywD/genblk1.b3_ORb[29]:D,
ident_coreinst/comm_block_INST/b9_ORb_xNywD/genblk1.b3_ORb[29]:EN,
ident_coreinst/comm_block_INST/b9_ORb_xNywD/genblk1.b3_ORb[29]:Q,
ident_coreinst/comm_block_INST/b9_ORb_xNywD/genblk1.b3_ORb[29]:SLn,
ident_coreinst/IICE_INST/b3_SoW/b8_FZFFLXYE[4]:CLK,
ident_coreinst/IICE_INST/b3_SoW/b8_FZFFLXYE[4]:D,9088
ident_coreinst/IICE_INST/b3_SoW/b8_FZFFLXYE[4]:EN,1362
ident_coreinst/IICE_INST/b3_SoW/b8_FZFFLXYE[4]:Q,
ident_coreinst/IICE_INST/b3_SoW/b8_FZFFLXYE[4]:SLn,7930
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_srsts_0[9]:A,1550
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_srsts_0[9]:B,797
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_srsts_0[9]:Y,797
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_0_cy_CC_0:CC[0],
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_0_cy_CC_0:CC[10],
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_0_cy_CC_0:CC[1],
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_0_cy_CC_0:CC[2],
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_0_cy_CC_0:CC[3],
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_0_cy_CC_0:CC[4],
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_0_cy_CC_0:CC[5],
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_0_cy_CC_0:CC[6],
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_0_cy_CC_0:CC[7],
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_0_cy_CC_0:CC[8],
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_0_cy_CC_0:CC[9],
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_0_cy_CC_0:P[0],
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_0_cy_CC_0:P[10],
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_0_cy_CC_0:P[1],
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_0_cy_CC_0:P[2],
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_0_cy_CC_0:P[3],
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_0_cy_CC_0:P[4],
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_0_cy_CC_0:P[5],
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_0_cy_CC_0:P[6],
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_0_cy_CC_0:P[7],
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_0_cy_CC_0:P[8],
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_0_cy_CC_0:P[9],
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_0_cy_CC_0:Y3A[0],
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_0_cy_CC_0:Y3A[10],
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_0_cy_CC_0:Y3A[1],
